lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice
"LR","1","1990","103","1990-04-13 00:00:00","106","1990-04-16 00:00:00","334","1990-11-30 00:00:00","337","1990-12-03 00:00:00"
"LR","1","1991","102","1991-04-12 00:00:00","105","1991-04-15 00:00:00","308","1991-11-04 00:00:00","310","1991-11-06 00:00:00"
"LR","1","1992","114","1992-04-23 00:00:00","115","1992-04-24 00:00:00","318","1992-11-13 00:00:00","321","1992-11-16 00:00:00"
"LR","1","1993","116","1993-04-26 00:00:00","118","1993-04-28 00:00:00","314","1993-11-10 00:00:00","316","1993-11-12 00:00:00"
"LR","1","1994","106","1994-04-16 00:00:00","108","1994-04-18 00:00:00","327","1994-11-23 00:00:00","330","1994-11-26 00:00:00"
"LR","1","1995","107","1995-04-17 00:00:00","110","1995-04-20 00:00:00","311","1995-11-07 00:00:00","313","1995-11-09 00:00:00"
"LR","1","1996","126","1996-05-05 00:00:00","128","1996-05-07 00:00:00","316","1996-11-11 00:00:00","317","1996-11-12 00:00:00"
"LR","1","1997","115","1997-04-25 00:00:00","116","1997-04-26 00:00:00","318","1997-11-14 00:00:00","321","1997-11-17 00:00:00"
"LR","1","1998","97","1998-04-07 00:00:00","98","1998-04-08 00:00:00","342","1998-12-08 00:00:00","344","1998-12-10 00:00:00"
"LR","1","1999","99","1999-04-09 00:00:00","102","1999-04-12 00:00:00","333","1999-11-29 00:00:00","334","1999-11-30 00:00:00"
"LR","1","2000","87","2000-03-27 00:00:00","88","2000-03-28 00:00:00","322","2000-11-17 00:00:00","325","2000-11-20 00:00:00"
"LR","2","1983","","","117","1983-04-27 00:00:00","","","318","1983-11-14 00:00:00"
"LR","2","1984","104","1984-04-13 00:00:00","107","1984-04-16 00:00:00","316","1984-11-11 00:00:00","317","1984-11-12 00:00:00"
"LR","2","1985","109","1985-04-19 00:00:00","110","1985-04-20 00:00:00","315","1985-11-11 00:00:00","325","1985-11-21 00:00:00"
"LR","2","1986","101","1986-04-11 00:00:00","102","1986-04-12 00:00:00","314","1986-11-10 00:00:00","315","1986-11-11 00:00:00"
"LR","2","1987","98","1987-04-08 00:00:00","99","1987-04-09 00:00:00","324","1987-11-20 00:00:00","327","1987-11-23 00:00:00"
"LR","2","1988","100","1988-04-09 00:00:00","102","1988-04-11 00:00:00","321","1988-11-16 00:00:00","323","1988-11-18 00:00:00"
"LR","2","1989","111","1989-04-21 00:00:00","114","1989-04-24 00:00:00","319","1989-11-15 00:00:00","321","1989-11-17 00:00:00"
"LR","2","1990","103","1990-04-13 00:00:00","106","1990-04-16 00:00:00","334","1990-11-30 00:00:00","337","1990-12-03 00:00:00"
"LR","2","1991","102","1991-04-12 00:00:00","105","1991-04-15 00:00:00","308","1991-11-04 00:00:00","310","1991-11-06 00:00:00"
"LR","2","1992","114","1992-04-23 00:00:00","115","1992-04-24 00:00:00","318","1992-11-13 00:00:00","321","1992-11-16 00:00:00"
"LR","2","1993","116","1993-04-26 00:00:00","118","1993-04-28 00:00:00","309","1993-11-05 00:00:00","312","1993-11-08 00:00:00"
"LR","2","1994","106","1994-04-16 00:00:00","107","1994-04-17 00:00:00","327","1994-11-23 00:00:00","330","1994-11-26 00:00:00"
"LR","2","1995","110","1995-04-20 00:00:00","112","1995-04-22 00:00:00","311","1995-11-07 00:00:00","313","1995-11-09 00:00:00"
"LR","2","1996","126","1996-05-05 00:00:00","127","1996-05-06 00:00:00","316","1996-11-11 00:00:00","317","1996-11-12 00:00:00"
"LR","2","1997","115","1997-04-25 00:00:00","116","1997-04-26 00:00:00","318","1997-11-14 00:00:00","321","1997-11-17 00:00:00"
"LR","2","1998","96","1998-04-06 00:00:00","97","1998-04-07 00:00:00","341","1998-12-07 00:00:00","342","1998-12-08 00:00:00"
"LR","2","1999","99","1999-04-09 00:00:00","102","1999-04-12 00:00:00","333","1999-11-29 00:00:00","334","1999-11-30 00:00:00"
"LR","2","2000","84","2000-03-24 00:00:00","86","2000-03-26 00:00:00","322","2000-11-17 00:00:00","325","2000-11-20 00:00:00"
"SP","1","1981","","","","","342","1981-12-08 00:00:00","345","1981-12-11 00:00:00"
"SP","1","1982","123","1982-05-03 00:00:00","124","1982-05-04 00:00:00","337","1982-12-03 00:00:00","341","1982-12-07 00:00:00"
"SP","1","1983","119","1983-04-29 00:00:00","120","1983-04-30 00:00:00","336","1983-12-02 00:00:00","337","1983-12-03 00:00:00"
"SP","1","1984","111","1984-04-20 00:00:00","112","1984-04-21 00:00:00","338","1984-12-03 00:00:00","339","1984-12-04 00:00:00"
"SP","1","1985","111","1985-04-21 00:00:00","112","1985-04-22 00:00:00","328","1985-11-24 00:00:00","329","1985-11-25 00:00:00"
"SP","1","1986","101","1986-04-11 00:00:00","102","1986-04-12 00:00:00","332","1986-11-28 00:00:00","335","1986-12-01 00:00:00"
"SP","1","1987","100","1987-04-10 00:00:00","102","1987-04-12 00:00:00","336","1987-12-02 00:00:00","337","1987-12-03 00:00:00"
"SP","1","1988","104","1988-04-13 00:00:00","105","1988-04-14 00:00:00","335","1988-11-30 00:00:00","336","1988-12-01 00:00:00"
"SP","1","1989","114","1989-04-24 00:00:00","116","1989-04-26 00:00:00","328","1989-11-24 00:00:00","331","1989-11-27 00:00:00"
"SP","1","1990","106","1990-04-16 00:00:00","107","1990-04-17 00:00:00","334","1990-11-30 00:00:00","337","1990-12-03 00:00:00"
"SP","1","1991","109","1991-04-19 00:00:00","112","1991-04-22 00:00:00","331","1991-11-27 00:00:00","333","1991-11-29 00:00:00"
"SP","1","1992","121","1992-04-30 00:00:00","122","1992-05-01 00:00:00","332","1992-11-27 00:00:00","335","1992-11-30 00:00:00"
"SP","1","1993","120","1993-04-30 00:00:00","122","1993-05-02 00:00:00","328","1993-11-24 00:00:00","334","1993-11-30 00:00:00"
"SP","1","1994","111","1994-04-21 00:00:00","112","1994-04-22 00:00:00","341","1994-12-07 00:00:00","343","1994-12-09 00:00:00"
"SP","1","1995","114","1995-04-24 00:00:00","115","1995-04-25 00:00:00","326","1995-11-22 00:00:00","328","1995-11-24 00:00:00"
"SP","1","1996","131","1996-05-10 00:00:00","133","1996-05-12 00:00:00","327","1996-11-22 00:00:00","330","1996-11-25 00:00:00"
"SP","1","1997","118","1997-04-28 00:00:00","119","1997-04-29 00:00:00","354","1997-12-20 00:00:00","356","1997-12-22 00:00:00"
"SP","1","1998","98","1998-04-08 00:00:00","99","1998-04-09 00:00:00","355","1998-12-21 00:00:00","356","1998-12-22 00:00:00"
